id	label	message
5373	0	K I'll head out in a few mins, see you there
1898	0	Aight, sounds good. When do you want me to come down?
868	1	PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
4386	1	Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705
5308	0	I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
1240	0	Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
3095	0	Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
2552	0	I'm done. C ü there.
3861	0	Yep. I do like the pink furniture tho.
5294	1	XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription 
3267	0	tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?
4765	0	Hi.:)technical support.providing assistance to us customer through call and email:)
2955	0	Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.
1055	0	HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
407	0	All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
2490	0	I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?
5466	1	http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡
2092	0	Then get some cash together and I'll text jason
586	0	Tell them u have a headache and just want to use 1 hour of sick time.
3506	0	life alle mone,eppolum oru pole allalo
333	1	Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
668	0	This pay is  &lt;DECIMAL&gt;  lakhs:)
3920	0	I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!
5349	0	I'm home...
4750	0	Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx
5360	0	Hey, iouri gave me your number, I'm wylie, ryan's friend
1510	0	When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
2297	1	<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
1069	1	Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
5027	1	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
3444	0	Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.
4221	0	U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
5245	0	Thank you princess! I want to see your nice juicy booty...
3619	0	Hey check it da. I have listed da.
850	1	Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X
335	1	Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
1880	1	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
385	1	Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX
4626	0	I'm on the bus. Love you
1500	1	SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO
2830	1	Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
2502	0	No da..today also i forgot..
2916	0	Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...
4240	0	Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx
2580	0	I dunno until when... Lets go learn pilates...
4512	0	Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*
100	0	Please don't text me anymore. I have nothing else to say.
452	0	Thanks for this hope you had a good day today
2562	0	And maybe some pressies
370	0	Cool, text me when you're ready
623	0	MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
5409	0	There is a first time for everything :)
4077	1	87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
1903	0	My sister got placed in birla soft da:-)
4394	1	RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
4094	0	"Life is nothing wen v get everything. But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng"
4622	0	Received, understood n acted upon!
488	0	Dear reached railway. What happen to you
3689	0	I'll meet you in the lobby
5442	0	I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!
369	0	Wat uniform? In where get?
1451	0	Msg me when rajini comes.
1752	0	* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
4206	1	IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
3488	0	Change windows logoff sound..
4208	0	Lets use it next week, princess :)
1965	0	Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)
5100	0	Aight, call me once you're close
317	0	Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...
2573	0	The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel
3831	0	I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.
2265	0	Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
3979	0	Reason is if the team budget is available at last they buy the unsold players for at base rate..
223	0	Sorry, I'll call later
610	0	It's fine, imma get a drink or somethin. Want me to come find you?
3726	0	Nothing spl..wat abt u and whr ru?
675	0	I've got  &lt;#&gt; , any way I could pick up?
2520	0	Ok. I only ask abt e movie. U wan ktv oso?
4501	0	Nvm take ur time.
5273	0	Its too late:)but its k.wish you the same.
5151	0	No problem with the renewal. I.ll do it right away but i dont know his details.
1310	0	Ok, be careful ! Don't text and drive !
5110	1	You have 1 new message. Please call 08715205273
2318	0	Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........
3091	0	Am going to take bath ill place the key in window:-)
5391	0	Watching ajith film ah?
1169	0	Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
2861	0	I want to be there so i can kiss you and feel you next to me
3765	0	Would me smoking you out help us work through this difficult time
3577	0	The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL
4081	0	Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola
2217	0	OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
1761	0	Nt yet chikku..simple habba..hw abt u?
4952	0	hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
3646	1	wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
3256	0	HI ITS KATE CAN U GIVE ME A RING ASAP XXX
3809	0	Mm you ask him to come its enough :-)
5499	0	Now get step 2 outta the way. Congrats again.
1168	0	Lol now I'm after that hot air balloon!
2152	0	I surely dont forgot to come:)i will always be in touch in with you:-)
456	0	Si si. I think ill go make those oreo truffles.
3931	0	I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present. 
4624	0	"U need my presnts always bcz U cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me...."
1246	0	Hello which the site to download songs its urgent pls
4841	1	PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
5412	0	Gr8. So how do you handle the victoria island traffic. Plus when's the album due
5095	0	K.k.this month kotees birthday know?
5358	0	Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
3662	0	Well then you have a great weekend!
196	0	Gud mrng dear hav a nice day
