PassengerId,Survived,Age,Fare,SibSp,Parch,Embarked,Sex,Pclass,Age + Fare,Age + Parch,Age + SibSp,Fare + Parch,Fare + SibSp,Parch + SibSp,Age * Fare,Age * Parch,Age * SibSp,Fare * Parch,Fare * SibSp,Parch * SibSp
833,0,,7.2292,0,0,C,male,3,,,,7.2292,7.2292,0,,,,0.0,0.0,0
266,0,36.0,10.5,0,0,S,male,2,46.5,36.0,36.0,10.5,10.5,0,378.0,0.0,0.0,0.0,0.0,0
214,0,30.0,13.0,0,0,S,male,2,43.0,30.0,30.0,13.0,13.0,0,390.0,0.0,0.0,0.0,0.0,0
680,1,36.0,512.3292,0,1,C,male,1,548.3292,37.0,36.0,513.3292,512.3292,1,18443.8512,36.0,0.0,512.3292,0.0,0
7,0,54.0,51.8625,0,0,S,male,1,105.8625,54.0,54.0,51.8625,51.8625,0,2800.575,0.0,0.0,0.0,0.0,0
87,0,16.0,34.375,1,3,S,male,3,50.375,19.0,17.0,37.375,35.375,4,550.0,48.0,16.0,103.125,34.375,3
228,0,20.5,7.25,0,0,S,male,3,27.75,20.5,20.5,7.25,7.25,0,148.625,0.0,0.0,0.0,0.0,0
104,0,33.0,8.6542,0,0,S,male,3,41.6542,33.0,33.0,8.6542,8.6542,0,285.5886,0.0,0.0,0.0,0.0,0
178,0,50.0,28.7125,0,0,C,female,1,78.7125,50.0,50.0,28.7125,28.7125,0,1435.625,0.0,0.0,0.0,0.0,0
768,0,30.5,7.75,0,0,Q,female,3,38.25,30.5,30.5,7.75,7.75,0,236.375,0.0,0.0,0.0,0.0,0
383,0,32.0,7.925,0,0,S,male,3,39.925,32.0,32.0,7.925,7.925,0,253.6,0.0,0.0,0.0,0.0,0
477,0,34.0,21.0,1,0,S,male,2,55.0,34.0,35.0,21.0,22.0,1,714.0,0.0,34.0,0.0,21.0,0
103,0,21.0,77.2875,0,1,S,male,1,98.2875,22.0,21.0,78.2875,77.2875,1,1623.0375,21.0,0.0,77.2875,0.0,0
345,0,36.0,13.0,0,0,S,male,2,49.0,36.0,36.0,13.0,13.0,0,468.0,0.0,0.0,0.0,0.0,0
379,0,20.0,4.0125,0,0,C,male,3,24.0125,20.0,20.0,4.0125,4.0125,0,80.25,0.0,0.0,0.0,0.0,0
74,0,26.0,14.4542,1,0,C,male,3,40.4542,26.0,27.0,14.4542,15.4542,1,375.80920000000003,0.0,26.0,0.0,14.4542,0
385,0,,7.8958,0,0,S,male,3,,,,7.8958,7.8958,0,,,,0.0,0.0,0
222,0,27.0,13.0,0,0,S,male,2,40.0,27.0,27.0,13.0,13.0,0,351.0,0.0,0.0,0.0,0.0,0
475,0,22.0,9.8375,0,0,S,female,3,31.8375,22.0,22.0,9.8375,9.8375,0,216.425,0.0,0.0,0.0,0.0,0
80,1,30.0,12.475,0,0,S,female,3,42.475,30.0,30.0,12.475,12.475,0,374.25,0.0,0.0,0.0,0.0,0
814,0,6.0,31.275,4,2,S,female,3,37.275,8.0,10.0,33.275,35.275,6,187.64999999999998,12.0,24.0,62.55,125.1,8
857,1,45.0,164.8667,1,1,S,female,1,209.8667,46.0,46.0,165.8667,165.8667,2,7419.0015,45.0,45.0,164.8667,164.8667,1
65,0,,27.7208,0,0,C,male,1,,,,27.7208,27.7208,0,,,,0.0,0.0,0
809,0,39.0,13.0,0,0,S,male,2,52.0,39.0,39.0,13.0,13.0,0,507.0,0.0,0.0,0.0,0.0,0
225,1,38.0,90.0,1,0,S,male,1,128.0,38.0,39.0,90.0,91.0,1,3420.0,0.0,38.0,0.0,90.0,0
10,1,14.0,30.0708,1,0,C,female,2,44.0708,14.0,15.0,30.0708,31.0708,1,420.9912,0.0,14.0,0.0,30.0708,0
635,0,9.0,27.9,3,2,S,female,3,36.9,11.0,12.0,29.9,30.9,5,251.1,18.0,27.0,55.8,83.69999999999999,6
655,0,18.0,6.75,0,0,Q,female,3,24.75,18.0,18.0,6.75,6.75,0,121.5,0.0,0.0,0.0,0.0,0
211,0,24.0,7.05,0,0,S,male,3,31.05,24.0,24.0,7.05,7.05,0,169.2,0.0,0.0,0.0,0.0,0
717,1,38.0,227.525,0,0,C,female,1,265.525,38.0,38.0,227.525,227.525,0,8645.95,0.0,0.0,0.0,0.0,0
616,1,24.0,65.0,1,2,S,female,2,89.0,26.0,25.0,67.0,66.0,3,1560.0,48.0,24.0,130.0,65.0,2
450,1,52.0,30.5,0,0,S,male,1,82.5,52.0,52.0,30.5,30.5,0,1586.0,0.0,0.0,0.0,0.0,0
375,0,3.0,21.075,3,1,S,female,3,24.075,4.0,6.0,22.075,24.075,4,63.224999999999994,3.0,9.0,21.075,63.224999999999994,3
805,1,27.0,6.975,0,0,S,male,3,33.975,27.0,27.0,6.975,6.975,0,188.325,0.0,0.0,0.0,0.0,0
843,1,30.0,31.0,0,0,C,female,1,61.0,30.0,30.0,31.0,31.0,0,930.0,0.0,0.0,0.0,0.0,0
377,1,22.0,7.25,0,0,S,female,3,29.25,22.0,22.0,7.25,7.25,0,159.5,0.0,0.0,0.0,0.0,0
327,0,61.0,6.2375,0,0,S,male,3,67.2375,61.0,61.0,6.2375,6.2375,0,380.4875,0.0,0.0,0.0,0.0,0
432,1,,16.1,1,0,S,female,3,,,,16.1,17.1,1,,,,0.0,16.1,0
575,0,16.0,8.05,0,0,S,male,3,24.05,16.0,16.0,8.05,8.05,0,128.8,0.0,0.0,0.0,0.0,0
849,0,28.0,33.0,0,1,S,male,2,61.0,29.0,28.0,34.0,33.0,1,924.0,28.0,0.0,33.0,0.0,0
708,1,42.0,26.2875,0,0,S,male,1,68.2875,42.0,42.0,26.2875,26.2875,0,1104.075,0.0,0.0,0.0,0.0,0
367,1,60.0,75.25,1,0,C,female,1,135.25,60.0,61.0,75.25,76.25,1,4515.0,0.0,60.0,0.0,75.25,0
529,0,39.0,7.925,0,0,S,male,3,46.925,39.0,39.0,7.925,7.925,0,309.075,0.0,0.0,0.0,0.0,0
57,1,21.0,10.5,0,0,S,female,2,31.5,21.0,21.0,10.5,10.5,0,220.5,0.0,0.0,0.0,0.0,0
642,1,24.0,69.3,0,0,C,female,1,93.3,24.0,24.0,69.3,69.3,0,1663.1999999999998,0.0,0.0,0.0,0.0,0
352,0,,35.0,0,0,S,male,1,,,,35.0,35.0,0,,,,0.0,0.0,0
854,1,16.0,39.4,0,1,S,female,1,55.4,17.0,16.0,40.4,39.4,1,630.4,16.0,0.0,39.4,0.0,0
44,1,3.0,41.5792,1,2,C,female,2,44.5792,5.0,4.0,43.5792,42.5792,3,124.7376,6.0,3.0,83.1584,41.5792,2
863,1,48.0,25.9292,0,0,S,female,1,73.92920000000001,48.0,48.0,25.9292,25.9292,0,1244.6016,0.0,0.0,0.0,0.0,0
693,1,,56.4958,0,0,S,male,3,,,,56.4958,56.4958,0,,,,0.0,0.0,0
62,1,38.0,80.0,0,0,,female,1,118.0,38.0,38.0,80.0,80.0,0,3040.0,0.0,0.0,0.0,0.0,0
302,1,,23.25,2,0,Q,male,3,,,,23.25,25.25,2,,,,0.0,46.5,0
17,0,2.0,29.125,4,1,Q,male,3,31.125,3.0,6.0,30.125,33.125,5,58.25,2.0,8.0,29.125,116.5,4
701,1,18.0,227.525,1,0,C,female,1,245.525,18.0,19.0,227.525,228.525,1,4095.4500000000003,0.0,18.0,0.0,227.525,0
64,0,4.0,27.9,3,2,S,male,3,31.9,6.0,7.0,29.9,30.9,5,111.6,8.0,12.0,55.8,83.69999999999999,6
846,0,42.0,7.55,0,0,S,male,3,49.55,42.0,42.0,7.55,7.55,0,317.09999999999997,0.0,0.0,0.0,0.0,0
43,0,,7.8958,0,0,C,male,3,,,,7.8958,7.8958,0,,,,0.0,0.0,0
480,1,2.0,12.2875,0,1,S,female,3,14.2875,3.0,2.0,13.2875,12.2875,1,24.575,2.0,0.0,12.2875,0.0,0
600,1,49.0,56.9292,1,0,C,male,1,105.92920000000001,49.0,50.0,56.9292,57.9292,1,2789.5308,0.0,49.0,0.0,56.9292,0
261,0,,7.75,0,0,Q,male,3,,,,7.75,7.75,0,,,,0.0,0.0,0
310,1,30.0,56.9292,0,0,C,female,1,86.92920000000001,30.0,30.0,56.9292,56.9292,0,1707.876,0.0,0.0,0.0,0.0,0
30,0,,7.8958,0,0,S,male,3,,,,7.8958,7.8958,0,,,,0.0,0.0,0
698,1,,7.7333,0,0,Q,female,3,,,,7.7333,7.7333,0,,,,0.0,0.0,0
780,1,43.0,211.3375,0,1,S,female,1,254.3375,44.0,43.0,212.3375,211.3375,1,9087.5125,43.0,0.0,211.3375,0.0,0
224,0,,7.8958,0,0,S,male,3,,,,7.8958,7.8958,0,,,,0.0,0.0,0
262,1,3.0,31.3875,4,2,S,male,3,34.3875,5.0,7.0,33.3875,35.3875,6,94.1625,6.0,12.0,62.775,125.55,8
411,0,,7.8958,0,0,S,male,3,,,,7.8958,7.8958,0,,,,0.0,0.0,0
14,0,39.0,31.275,1,5,S,male,3,70.275,44.0,40.0,36.275,32.275,6,1219.725,195.0,39.0,156.375,31.275,5
716,0,19.0,7.65,0,0,S,male,3,26.65,19.0,19.0,7.65,7.65,0,145.35,0.0,0.0,0.0,0.0,0
858,1,51.0,26.55,0,0,S,male,1,77.55,51.0,51.0,26.55,26.55,0,1354.05,0.0,0.0,0.0,0.0,0
711,1,24.0,49.5042,0,0,C,female,1,73.5042,24.0,24.0,49.5042,49.5042,0,1188.1008,0.0,0.0,0.0,0.0,0
235,0,24.0,10.5,0,0,S,male,2,34.5,24.0,24.0,10.5,10.5,0,252.0,0.0,0.0,0.0,0.0,0
525,0,,7.2292,0,0,C,male,3,,,,7.2292,7.2292,0,,,,0.0,0.0,0
460,0,,7.75,0,0,Q,male,3,,,,7.75,7.75,0,,,,0.0,0.0,0
599,0,,7.225,0,0,C,male,3,,,,7.225,7.225,0,,,,0.0,0.0,0
687,0,14.0,39.6875,4,1,S,male,3,53.6875,15.0,18.0,40.6875,43.6875,5,555.625,14.0,56.0,39.6875,158.75,4
201,0,28.0,9.5,0,0,S,male,3,37.5,28.0,28.0,9.5,9.5,0,266.0,0.0,0.0,0.0,0.0,0
476,0,,52.0,0,0,S,male,1,,,,52.0,52.0,0,,,,0.0,0.0,0
496,0,,14.4583,0,0,C,male,3,,,,14.4583,14.4583,0,,,,0.0,0.0,0
686,0,25.0,41.5792,1,2,C,male,2,66.5792,27.0,26.0,43.5792,42.5792,3,1039.48,50.0,25.0,83.1584,41.5792,2
